# These data are from NREL modeled from REV. Link to data here https://www.nrel.gov/gis/wind-supply-curves.html,,,,,,,,
Grid,latitude,longitude,area_sq_km,capacity_mw,generation_mwh,capacity_factor,wind_speed_120meters,distance_to_transmission_km
20550,41.95899963,-84.65399933,36.612,109.836,428095.1881,0.444929838,7.7322855,0.691112397
40183,35.71500015,-81.34500122,56.7972,170.3916,324787.9087,0.217594326,5.155874729,0.396776222
53440,31.09799957,-83.91699982,14.7906,44.3718,133738.0574,0.344067663,6.579244137,0.470726798
15796,42.70199966,-113.6660004,122.796,368.388,986093.032,0.305568308,6.317686558,0.502852166
7500,46.50099945,-96.06700134,34.5384,103.6152,431803.3104,0.475727648,8.086301804,0.751476853
28627,39.70800018,-86.05500031,34.02,102.06,368653.7338,0.412343323,7.366007328,0.661185543
56850,29.50900078,-95.18800354,22.0968,66.2904,204889.7716,0.352830023,6.652776241,0.596687553
47177,32.70399857,-115.125,49.6368,148.9104,336014.6626,0.257590055,5.543608189,0.193881016
31488,39.18299866,-95.06900024,99.0792,297.2376,1187681.849,0.456133813,7.844753265,0.868855978
19575,42.13800049,-83.27600098,13.4946,40.4838,135163.1017,0.381129682,7.01226759,0.626276238
25364,39.36199951,-74.44499969,0.330328125,0.990984375,3942.394733,0.454139411,7.88132,0.541709899
26207,40.69599915,-99.82900238,42.8328,128.4984,542038.2605,0.481535286,8.423062325,0.925743031
54018,30.72400093,-83.21800232,4.80735,14.42205,40925.93117,0.323942155,6.361808777,0.468891188
41584,35.6629982,-106.0159988,72.3168,216.9504,596951.5539,0.314104766,6.641512871,0.555099937
38128,37.125,-94.82299805,119.556,358.668,1440767.437,0.458561033,7.923525333,0.900459658
3986,47.86800003,-96.06900024,24.543,73.629,292578.6434,0.453617305,7.753770351,0.765587004
32461,38.88700104,-94.79100037,22.0806,66.2418,276935.029,0.477245301,8.252122879,0.943226463
7798,46.40299988,-95.74900055,17.982,53.946,215839.9056,0.456739306,7.786400318,0.775827561
33457,38.36800003,-88.08200073,124.9344,374.8032,1335490.313,0.406755418,7.271827698,0.692772821
48263,32.83100128,-79.84100342,1.451925,4.355775,13923.10025,0.364893734,6.894492626,0.731760959
26896,40.55099869,-96.78399658,118.26,354.78,1537555.674,0.49472928,8.461450577,0.998922532
34141,36.9090004,-76.07700348,1.72935,5.18805,20173.296,0.443883091,7.775248051,0.556552588
12726,44.74599838,-96.22000122,52.6176,157.8528,634938.4595,0.459171832,7.85434103,0.799407507
43345,33.81900024,-116.3639984,66.2904,198.8712,644658.8049,0.37004447,7.340563297,0.302829872
56779,29.47100067,-90.2480011,4.6008,13.8024,36889.27763,0.305099458,6.292788029,0.406157777
14050,42.6590004,-73.73600006,15.8274,47.4822,130939.9352,0.314801782,6.122648239,0.436307828
57326,27.90500069,-81.60299683,29.9862,89.9586,219287.6945,0.278270692,5.915215015,0.496775004
1206,47.29899979,-120.0820007,108.0864,324.2592,893844.8755,0.314677536,6.364779472,0.59736739
32490,38.79000092,-90.70999908,15.957,47.871,161842.5927,0.385936826,6.983097553,0.697794384
47974,33.23799896,-82.37799835,62.0784,186.2352,536422.7661,0.328807205,6.42107439,0.520749886
37348,35.97399902,-114.8010025,48.762,146.286,451859.629,0.352611661,6.94261694,0.671902887
56321,29.99799919,-94.18800354,48.0492,144.1476,459972.5821,0.364267498,6.750041008,0.499321325
56665,29.70899963,-95.06199646,2.537325,7.611975,22168.73938,0.332460105,6.468879223,0.638070346
51278,31.84799957,-81.60700226,7.57755,22.73265,64578.17129,0.324288517,6.372457027,0.523415629
19883,42.3730011,-87.8690033,3.1428,9.4284,37065.04196,0.448768526,7.765734196,0.600658423
38471,37.00500107,-93.31800079,91.6272,274.8816,994136.0421,0.412853569,7.32605648,0.890490479
20560,41.66699982,-81.44000244,6.70275,20.10825,70264.23814,0.398892581,7.24914217,0.535861943
36703,36.10800171,-115.2519989,0.38829375,1.16488125,2668.876183,0.261542737,5.579639435,0.513179797
34735,36.7179985,-76.13400269,11.2347,33.7041,120759.4977,0.4090105,7.300819874,0.554905615
37529,37.13000107,-88.77700043,18.9054,56.7162,181976.1742,0.366271645,6.840545177,0.766843978
33160,38.31600189,-85.84300232,61.9488,185.8464,575616.1268,0.353569418,6.727936268,0.670178056
56293,30,-97.66799927,103.2912,309.8736,1094078.011,0.403050631,7.206438065,0.808174741
16312,43.13000107,-83.3730011,21.1248,63.3744,231945.1175,0.417798877,7.32585907,0.809443986
49004,33.24900055,-86.82299805,56.214,168.642,470464.9618,0.318461865,6.329530239,0.540745726
51617,32.43999863,-99.77799988,53.298,159.894,649555.042,0.463745475,8.034613609,0.949966285
11580,45.09799957,-92.64099884,64.0548,192.1644,701831.9399,0.416923225,7.267269135,0.820047562
4723,47.52899933,-92.17299652,4.19175,12.57525,45233.06145,0.410615414,7.2277565,0.817974733
20611,40.7159996,-74.12799835,0.121183594,0.363550781,1012.570864,0.317948103,6.357962132,0.465776236
25928,40.76200104,-91.12799835,56.8296,170.4888,638682.0617,0.427646339,7.41159153,0.865797353
19949,41.05899811,-75.05500031,26.1144,78.3432,193933.5526,0.282583982,5.976116657,0.416831776
51422,32.58100128,-93.9960022,56.8944,170.6832,527105.4444,0.352535307,6.625015736,0.538759132
33162,38.29499817,-85.56500244,18.8244,56.4732,173711.2337,0.351140887,6.673520088,0.525076741
32492,38.77899933,-90.43000031,18.0468,54.1404,177361.1197,0.373966634,6.872055531,0.774957032
52913,31.77799988,-101.5279999,101.3472,304.0416,1287460.609,0.48338908,8.428553581,1.052404765
32152,38.94300079,-92.39199829,36.1908,108.5724,372164.2968,0.391301185,7.02621603,0.812031203
21854,41.70000076,-86.47799683,78.8616,236.5848,887710.4782,0.428331882,7.502444744,0.890256671
27317,39.92599869,-83.85900116,77.6952,233.0856,804441.0322,0.393980443,7.149815559,0.595576453
4917,47.44599915,-99.14700317,55.9224,167.7672,679228.304,0.462173045,7.876645565,0.96482603
57646,27.27799988,-81.47499847,14.094,42.282,101120.7527,0.273011327,5.820466995,0.570203344
28626,39.71900177,-86.19599915,7.4358,22.3074,70177.70967,0.359125406,6.744071484,0.752569151
55686,29.59000015,-81.28500366,0.83278125,2.49834375,6724.484008,0.307257622,6.289497852,0.644295103
48262,32.84799957,-79.96900177,1.74555,5.23665,16204.0109,0.35323593,6.759785175,0.865368493
37817,37.20100021,-93.30999756,13.608,40.824,162353.5638,0.453985691,7.894946098,1.121186268
18921,42.35699844,-83.53099823,22.1778,66.5334,237171.5594,0.406929135,7.260997772,0.86887804
47180,32.76300049,-114.7460022,114.048,342.144,1003175.798,0.334706396,6.743794441,0.335021452
56314,30.00799942,-95.05799866,52.812,158.436,497503.4805,0.358457893,6.652591705,0.807299682
7802,46.40100098,-95.11199951,40.5324,121.5972,494254.4477,0.464005262,7.865312576,0.995994445
11861,45.02899933,-94.35600281,58.2876,174.8628,711759.823,0.464656413,7.888513565,1.003544798
8395,46.1969986,-94.16400146,11.664,34.992,135713.0456,0.442739964,7.595220089,0.956551878
14988,43.59199905,-84.19499969,18.6138,55.8414,203401.3924,0.415808648,7.26913166,0.904201856
56764,29.61100006,-95.55799866,1.9996875,5.9990625,18221.4407,0.346733034,6.547931194,0.792801881
49942,33.19100189,-95.79499817,54.3672,163.1016,623356.9999,0.436289251,7.577629089,1.002784625
14030,43.08300018,-76.66400146,13.7781,41.3343,136291.3597,0.376403481,6.834462166,0.641234021
27980,39.75699997,-84.17900085,6.318,18.954,58636.59594,0.353153706,6.692937374,0.563440345
34356,37.99599838,-86.87000275,71.4744,214.4232,683421.6893,0.36384204,6.774845123,0.805410598
38238,36.13800049,-79.88400269,30.78,92.34,267389.9121,0.330560565,6.435994625,0.862730738
50917,32.79299927,-96.82800293,0.33665625,1.00996875,3260.83926,0.368567765,6.813787937,0.866124067
22177,41.78099823,-89.72000122,70.956,212.868,780969.889,0.418812662,7.273033619,0.67948991
55906,30.30999947,-95.42900085,25.1586,75.4758,221070.4429,0.33436349,6.399558067,0.56318901
56455,29.8939991,-93.94300079,2.4948,7.4844,23074.95768,0.351949066,6.715006351,0.594258353
25890,40.84500122,-96.64199829,30.8772,92.6316,363916.667,0.44847545,7.717951298,1.178767408
51651,32.49700165,-95.41200256,22.4046,67.2138,239152.8036,0.406174749,7.233728409,0.961368521
4194,47.69800186,-100.7900009,4.39425,13.18275,55409.39513,0.47981441,8.164089203,1.081865113
16245,43.66799927,-94.69599915,83.268,249.804,1071429.294,0.489620984,8.223119736,1.104147922
58136,25.58699989,-80.34999847,0.362728125,1.088184375,2684.559135,0.281621873,6.06411314,0.635495134
11001,45.2859993,-92.31800079,55.1772,165.5316,621334.2155,0.428489566,7.450003147,0.968369249
21851,41.72900009,-86.91799927,4.2282,12.6846,48679.50346,0.438091934,7.683729172,0.991427633
