Plant Code,Plant Name,Prime Mover,Energy Source 1,Operating Year,Nameplate Capacity (MW)
61327.0,Barnwell Solar,PV,SUN,2017,5
61326.0,Cameron Solar II,PV,SUN,2017,4
61325.0,Hampton Solar I,PV,SUN,2017,6
61324.0,Odyssey Solar,PV,SUN,2017,8
61323.0,Saluda Solar II,PV,SUN,2017,3
61319.0,Port of LA Solar FiT Project,PV,SUN,2015,1
61316.0,Higginsville Solar Farm,PV,SUN,2017,2
61315.0,Golden Hills Solar,PV,SUN,2017,4
61314.0,SR Kersey,PV,SUN,2017,3
61313.0,BPU Solar Farm,PV,SUN,2017,1
61312.0,Walton 2 Solar Facility,PV,SUN,2017,2
61311.0,Walton 1 Solar Facility,PV,SUN,2017,2
61310.0,Crittenden Solar Facility,PV,SUN,2017,2
61309.0,IKEA Grand Prairie Rooftop PV System,PV,SUN,2017,1
61308.0,Sampson Road Community Solar,PV,SUN,2017,2
61307.0,Peterson Road Solar,PV,SUN,2017,2
61303.0,Bluff Point Wind Facility,WT,WND,2017,119
61299.0,Hatfield Renewables Community Solar,PV,SUN,2017,1
61298.0,Pleasantdale Road Community Solar,PV,SUN,2017,1
61297.0,Upton Community Solar,PV,SUN,2017,2
61294.0,Farley Road Community Solar,PV,SUN,2017,1
61292.0,Jackson Solar Farm,PV,SUN,2017,10
61291.0,"Green Meadow Solar, LLC",PV,SUN,2017,3
61290.0,"South Mills Solar, LLC",PV,SUN,2017,3
61289.0,"River Bend Solar, LLC",PV,SUN,2017,2
61288.0,"Roxboro Solar Farm, LLC",PV,SUN,2015,5
61284.0,"Lux Solar, LLC",PV,SUN,2016,2
61283.0,"Bladenboro Solar, LLC",PV,SUN,2015,4
61282.0,APG Combined Heat and Power Plant,GT,NG,2016,7
61280.0,Wilson Solar Farm 7,PV,SUN,2017,10
61279.0,Wilson Solar Farm 6,PV,SUN,2017,10
61278.0,Wilson Solar Farm 5,PV,SUN,2017,10
61277.0,Wilson Solar Farm 4,PV,SUN,2017,10
61276.0,Wilson Solar Farm 3,PV,SUN,2017,10
61275.0,Wilson Solar Farm 2,PV,SUN,2017,5
61274.0,Wilson Solar Farm 1,PV,SUN,2017,3
61271.0,Biltmore Solar Fields,PV,SUN,2012,1
61268.0,Kayenta Solar Project,PV,SUN,2017,27
61267.0,Hurricane Creek Lift Station,IC,DFO,2004,2
61266.0,Orme Park Water Treatment Plant,IC,DFO,1997,1
61261.0,Rock Falls Wind Farm LLC,WT,WND,2017,154
61260.0,"Innovative Solar 60, LLC",PV,SUN,2017,1
61259.0,"Innovative Solar 59, LLC",PV,SUN,2017,1
61258.0,"Innovative Solar 35, LLC",PV,SUN,2017,1
61257.0,"ZV Solar 2, LLC",PV,SUN,2017,4
61256.0,"Hood Farm Solar, LLC",PV,SUN,2017,4
61255.0,"Haywood Farm Solar, LLC",PV,SUN,2017,4
61250.0,USPS PV,PV,SUN,2017,10
61249.0,Westmont 300A,PV,SUN,2017,2
61248.0,Glopak Solar PV Power Plant,PV,SUN,2011,0
61247.0,ACE-Stanton A PV,PV,SUN,2017,4
61246.0,ACE-Stanton PV,PV,SUN,2017,4
61245.0,Vuelta Solar,PV,SUN,2016,5
61244.0,Shuman Solar,PV,SUN,2016,2
61243.0,Old Wardour Solar,PV,SUN,2016,5
61238.0,NY - Presbyt. Hospital - 525 E 68TH St,IC,DFO,1997,15
61237.0,"433 Purchase Solar NG, LLC",PV,SUN,2012,2
61224.0,"350 Clark Solar, NG, LLC",PV,SUN,2011,1
61223.0,Chillicothe Solar Farm,PV,SUN,2017,2
61222.0,Golden Hills North Wind Energy Center,WT,WND,2017,46
61221.0,Redbed Plains Wind Farm,WT,WND,2017,99
61220.0,"Spencer Farm, LLC",PV,SUN,2017,5
61218.0,"Broadridge Solar, LLC",PV,SUN,2017,5
61217.0,Head of U Canal Hydro Project,HY,WAT,2015,1
61211.0,IKEA Memphis 508,PV,SUN,2016,1
61210.0,Finger Lakes Solar I,PV,SUN,2016,1
61209.0,Sacramento Regional County Sanitation PV,PV,SUN,2017,3
61208.0,Gulfport Naval Base CSG PV System,PV,SUN,2017,3
61207.0,Green Island Hydroelectric Station,HY,WAT,1922,4
61206.0,Onyx - Allen Harim,PV,SUN,2017,1
61205.0,Bandera Electric Coop PV,PV,SUN,2017,1
61201.0,"OR Solar 3, LLC",PV,SUN,2017,10
61199.0,T0588 Phoenix - AZ,PV,SUN,2017,1
61198.0,Merck - Upper Gwynedd Solar Array,PV,SUN,2011,1
61197.0,Pima Energy Storage System,BA,MWH,2017,10
61196.0,"Mill Pond Solar Farm, LLC",PV,SUN,2017,5
61195.0,"231 Dixon 74 Solar I, LLC",PV,SUN,2017,2
61194.0,"Barker Solar, LLC",PV,SUN,2017,5
61193.0,IKEA Las Vegas 462,PV,SUN,2016,1
61192.0,IKEA Joliet Rooftop PV System,PV,SUN,2017,2
61191.0,Drop 5,HY,WAT,2017,2
61190.0,Shavano Falls Hydro Drop 4,HY,WAT,2015,4
61189.0,Shavano Falls Hydro,HY,WAT,2015,2
61188.0,Winton Solar 2,PV,SUN,9999,1
61187.0,Century Drive Solar Farm,PV,SUN,2014,1
61186.0,Boston Medical Center CHP Plant,IC,NG,2017,2
61185.0,Pfeffers,PV,SUN,2016,1
61181.0,Andromeda Community Solar,PV,SUN,2017,0
61180.0,Caelum Community Solar,PV,SUN,2017,0
61178.0,Capella Community Solar,PV,SUN,2017,0
61175.0,Pegasus Community Solar,PV,SUN,2017,2
61173.0,IKEA Miami 327,PV,SUN,2015,1
61172.0,EE Waianae Solar Project,PV,SUN,2017,27
61166.0,Tyee Lake Hydroelectric Facility,HY,WAT,1983,22
61165.0,Columbus Solar Project,PV,SUN,2017,1
61164.0,Onset West Solar Facility,PV,SUN,2016,1
61163.0,Onset East Solar Facility,PV,SUN,2016,1
61162.0,RB Manufacturing LLC Belle Mead NJ,PV,SUN,2016,1
61160.0,MILL SOLAR 1,PV,SUN,2015,1
61158.0,Bizzell Church Solar 2,PV,SUN,2017,5
61157.0,Boaz Farm Solar,PV,SUN,2017,5
61156.0,St. Pauls Solar 2,PV,SUN,2017,5
61154.0,AT&T Anaheim,FC,NG,2016,1
61153.0,AT&T Holger,FC,NG,2016,1
61152.0,Intel Folsom Phase 3,PV,SUN,2016,5
61145.0,Brown County LFGTE Power Station,IC,LFG,2017,3
61141.0,"CF Novel Solar CSG Gardens Eleven, LLC",PV,SUN,2017,3
61140.0,"CF Novel Solar CSG Gardens Two, LLC",PV,SUN,2017,1
61135.0,Lebanon Solar Farm (MO),PV,SUN,2017,2
61131.0,Tolson Solar,PV,SUN,2015,3
61129.0,Wadesboro Solar,PV,SUN,2017,5
61126.0,Bedford Solar,PV,SUN,2017,3
61125.0,Nebraska Valley Solar Farm,PV,SUN,2016,1
61124.0,Elizabeth Mines Solar 1,PV,SUN,2017,5
61123.0,SCWA R5 Pond Solar,PV,SUN,9999,2
61121.0,Quichapa 3,PV,SUN,2016,3
61120.0,Quichapa 2,PV,SUN,2016,3
61119.0,Quichapa 1,PV,SUN,2016,3
61118.0,Bakersfield Industrial PV 1,PV,SUN,2017,1
61117.0,Bakersfield PV 1,PV,SUN,2017,5
